,Date,Bitcoin,Stock,B,S
0,2017-03-01,1230.016,139.79,0.016314946428838427,0.02578996282527868
1,2017-03-02,1260.924,138.96,0.018029716259907687,0.006505576208178709
2,2017-03-03,1290.786,139.78,0.01968645421433341,0.02555762081784385
3,2017-03-06,1280.868,139.34,0.019136205502525948,0.015334572490706577
4,2017-03-07,1232.431,139.52,0.01644893015932996,0.019516728624535684
5,2017-03-08,1150.481,139.0,0.011902360091511723,0.0074349442379180175
6,2017-03-09,1191.815,138.68,0.014195562375626407,0.0
7,2017-03-10,1117.025,139.14,0.010046227715807918,0.010687732342006928
8,2017-03-13,1243.242,139.2,0.01704872233752621,0.012081784386616778
9,2017-03-14,1246.309,138.99,0.017218878901260178,0.007202602230483635
10,2017-03-15,1259.601,140.46,0.017956316477116686,0.04135687732342008
11,2017-03-16,1172.9089999999999,140.69,0.01314666117120699,0.04670074349442377
12,2017-03-17,1070.128,139.99,0.007444391273215209,0.030436802973977883
13,2017-03-20,1041.343,141.46,0.00584740506940621,0.06459107806691478
14,2017-03-21,1115.039,139.84,0.009936044821913015,0.0269516728624537
15,2017-03-22,1037.44,141.42,0.005630867388201885,0.06366171003717458
16,2017-03-23,1029.95,140.92,0.005215323644358581,0.052044609665427455
17,2017-03-24,935.946,140.64,0.0,0.045539033457248745
18,2017-03-27,1040.491,140.88,0.005800136275046462,0.0511152416356877
19,2017-03-28,1044.251,143.8,0.0060087403440519105,0.11895910780669183
20,2017-03-29,1040.392,144.12,0.005794643774293395,0.12639405204460985
21,2017-03-30,1037.527,143.93,0.005635694131287915,0.12197955390334592
22,2017-03-31,1079.748,143.66,0.007978107002957882,0.11570631970260203
23,2017-04-03,1147.631,143.7,0.011744242645590035,0.11663568773234179
24,2017-04-04,1143.746,144.77,0.011528703600886266,0.14149628252788116
25,2017-04-05,1134.998,144.02,0.011043366261615083,0.12407063197026069
26,2017-04-06,1190.597,143.66,0.014127987972421992,0.11570631970260203
27,2017-04-07,1193.019,143.34,0.014262360061552619,0.10827137546468402
28,2017-04-10,1213.339,143.17,0.015389709711071432,0.10432156133828974
29,2017-04-11,1224.767,141.63,0.01602373292931459,0.06854089219330861
30,2017-04-12,1216.505,141.8,0.015565358775558473,0.07249070631970289
31,2017-04-13,1178.5330000000001,141.05,0.01345867959782577,0.05506505576208198
32,2017-04-17,1203.731,141.83,0.01485665973899581,0.07318773234200782
