Date,Bitcoin
2017-03-01,1230.016
2017-03-02,1260.924
2017-03-03,1290.786
2017-03-06,1280.868
2017-03-07,1232.431
2017-03-08,1150.481
2017-03-09,1191.815
2017-03-10,1117.025
2017-03-13,1243.242
2017-03-14,1246.309
2017-03-15,1259.601
2017-03-16,1172.909
2017-03-17,1070.128
2017-03-20,1041.343
2017-03-21,1115.039
2017-03-22,1037.44
2017-03-23,1029.95
2017-03-24,935.946
2017-03-27,1040.491
2017-03-28,1044.251
2017-03-29,1040.392
2017-03-30,1037.527
2017-03-31,1079.748
2017-04-03,1147.631
2017-04-04,1143.746
2017-04-05,1134.998
2017-04-06,1190.597
2017-04-07,1193.019
2017-04-10,1213.339
2017-04-11,1224.767
2017-04-12,1216.505
2017-04-13,1178.533
2017-04-17,1203.731
2017-04-18,1217.596
2017-04-19,1226.939
2017-04-20,1255.403
2017-04-21,1257.135
2017-04-24,1248.325
2017-04-25,1263.545
2017-04-26,1284.845
2017-04-27,1329.19
2017-04-28,1320.0513
2017-05-01,1402.0838
2017-05-02,1443.6825
2017-05-03,1491.9988
2017-05-04,1515.6288
2017-05-05,1512.2088
2017-05-08,1639.3225
2017-05-09,1706.9313
2017-05-10,1756.8025
2017-05-11,1807.3725
2017-05-12,1676.9938
2017-05-15,1697.3788
2017-05-16,1718.2013
2017-05-17,1802.1638
2017-05-18,1887.3263
2017-05-19,1968.1025
2017-05-22,2139.0275
2017-05-23,2291.4775
2017-05-24,2476.2963
2017-05-25,2357.5038
2017-05-26,2247.4825
2017-05-30,2197.2338
2017-05-31,2330.2338
2017-06-01,2452.1813
2017-06-02,2517.4088
2017-06-05,2736.595
2017-06-06,2914.0825
2017-06-07,2694.2188
2017-06-08,2825.0313
2017-06-09,2826.7
2017-06-12,2682.595
2017-06-13,2738.9313
2017-06-14,2494.485
2017-06-15,2456.9238
2017-06-16,2528.1025
2017-06-19,2641.665
2017-06-20,2778.8275
2017-06-21,2712.1575
2017-06-22,2740.79
2017-06-23,2738.225
2017-06-26,2485.3588
2017-06-27,2593.17
2017-06-28,2584.5638
2017-06-29,2561.5613
2017-06-30,2499.9838
2017-07-03,2581.0663
2017-07-05,2629.2725
2017-07-06,2619.1125
2017-07-07,2521.2363
2017-07-10,2371.96
2017-07-11,2332.1875
2017-07-12,2423.16
2017-07-13,2364.5163
2017-07-14,2232.655
2017-07-17,2244.265
2017-07-18,2327.8975
2017-07-19,2294.405
2017-07-20,2877.3863
2017-07-21,2694.2913
2017-07-24,2779.0438
2017-07-25,2591.2163
2017-07-26,2550.18
2017-07-27,2697.4725
2017-07-28,2805.1788
2017-07-31,2873.8325
2017-08-01,2735.5875
2017-08-02,2723.58
2017-08-03,2814.3613
2017-08-04,2883.6813
2017-08-08,3453.1625
2017-08-09,3377.5438
2017-08-10,3445.28
2017-08-11,3679.6075
2017-08-14,4382.7413
2017-08-15,4204.43
2017-08-16,4425.2963
2017-08-17,4316.34
2017-08-18,4159.4575
2017-08-21,4054.9425
2017-08-22,4137.6725
2017-08-23,4191.2175
2017-08-24,4362.475
2017-08-25,4408.3238
2017-08-28,4439.6588
2017-08-29,4648.1338
2017-08-30,4630.7275
2017-08-31,4764.8675
2017-09-01,4950.7238
2017-09-05,4422.1213
2017-09-06,4626.72
2017-09-07,4638.0975
2017-09-08,4317.5375
2017-09-11,4188.845
2017-09-12,4148.2675
2017-09-13,3874.2588
2017-09-14,3226.4125
2017-09-15,3686.9
2017-09-18,4067.0775
2017-09-19,3896.9988
2017-09-20,3858.0888
2017-09-21,3612.6813
2017-09-22,3603.3088
2017-09-25,3927.4988
2017-09-26,3895.5125
2017-09-27,4208.5613
2017-09-28,4185.2925
2017-09-29,4164.1038
2017-10-02,4404.0975
2017-10-03,4320.09
2017-10-04,4225.9238
2017-10-05,4322.755
2017-10-06,4370.245
2017-10-09,4772.975
2017-10-10,4754.6988
2017-10-11,4830.7663
2017-10-12,5439.1338
2017-10-13,5640.1275
2017-10-16,5754.2213
2017-10-17,5595.235
2017-10-18,5572.1988
2017-10-19,5699.5838
2017-10-20,5984.0863
2017-10-23,5895.2988
2017-10-24,5518.85
2017-10-25,5733.9038
2017-10-26,5888.145
2017-10-27,5767.68
2017-10-30,6121.8
2017-10-31,6447.6675
2017-11-01,6750.1725
2017-11-02,7030.0025
2017-11-03,7161.4513
2017-11-06,6958.2113
2017-11-07,7118.8013
2017-11-09,7146.7813
2017-11-10,6570.3125
2017-11-13,6517.6763
2017-11-14,6598.7688
2017-11-15,7279.0013
2017-11-16,7843.9375
2017-11-17,7689.9088
2017-11-20,8238.2025
2017-11-21,8095.5938
2017-11-22,8230.6925
2017-11-24,8201.4613
2017-11-27,9739.055
2017-11-28,9908.2288
2017-11-29,9816.3475
2017-11-30,9916.5363
2017-12-01,10859.5625
2017-12-04,11616.855
2017-12-05,11696.0583
2017-12-06,13708.9913
2017-12-07,16858.02
2017-12-08,16057.145
2017-12-11,16699.6775
2017-12-12,17178.1025
2017-12-13,16407.2025
2017-12-14,16531.0838
2017-12-15,17601.9438
2017-12-18,18960.5225
2017-12-19,17608.35
2017-12-20,16454.7225
2017-12-21,15561.05
2017-12-22,13857.145
2017-12-26,15745.2575
2017-12-27,15378.285
2017-12-28,14428.76
2017-12-29,14427.87
2018-01-02,14740.7563
2018-01-03,15134.6513
2018-01-04,15155.2263
2018-01-05,16937.1738
2018-01-08,14970.3575
2018-01-09,14439.4738
2018-01-10,14890.7225
2018-01-11,13287.26
2018-01-12,13812.715
2018-01-16,11348.02
2018-01-17,11141.2488
2018-01-18,11250.6475
2018-01-19,11514.925
2018-01-22,10772.15
2018-01-23,10839.8263
2018-01-24,11399.52
2018-01-25,11137.2375
2018-01-26,11090.0638
2018-01-29,11158.3938
2018-01-30,10034.9975
2018-01-31,10166.5063
2018-02-01,9052.5763
2018-02-02,8827.63
2018-02-05,6914.26
2018-02-06,7700.3863
2018-02-07,7581.8038
2018-02-08,8237.2363
2018-02-09,8689.8388
2018-02-12,8891.2125
2018-02-13,8516.2438
2018-02-14,9477.84
2018-02-15,10016.4888
2018-02-16,10178.7125
2018-02-20,11228.2413
2018-02-21,10456.1725
2018-02-22,9830.4263
2018-02-23,10149.4625
2018-02-26,10313.0825
2018-02-27,10564.4188
2018-02-28,10309.6413
2018-03-01,10907.59
2018-03-02,11019.5213
2018-03-05,11432.9825
2018-03-06,10709.5275
2018-03-07,9906.8
2018-03-08,9299.2838
2018-03-09,9237.05
2018-03-12,9118.2713
2018-03-13,9144.1475
2018-03-14,8196.8975
2018-03-15,8256.9938
2018-03-16,8269.3275
2018-03-19,8594.1913
2018-03-20,8915.9038
2018-03-21,8895.4
2018-03-22,8712.8913
2018-03-23,8918.7438
2018-03-26,8138.3363
2018-03-27,7790.1575
