List,Type,Name,Description,Correlation,Term
1,ETF,EWJ,iShares Japan,0.8363,05/01/17-04/30/18
2,ETF,FDN,Dow Jones Internet,0.6839,05/01/17-04/30/19
3,ETF,GLD,SPDR Gold Shares,0.4202,05/01/17-04/30/20
4,ETF,IWM,Russell 2000,0.784,05/01/17-04/30/21
5,ETF,IWY,Russell Top 200 Growth,0.8175,05/01/17-04/30/22
6,ETF,ROBO,Robotics & Automation,0.7957,05/01/17-04/30/23
7,ETF,SPY,S&P 500,0.8368,05/01/17-04/30/24
8,ETF,DIA,Dow Jones,0.8613,05/01/17-04/30/18
9,ETF,UNG,US Natural Gas,-0.7694,05/01/17-04/30/19
10,ETF,TLT,20-yr Tbond,-0.132,05/01/17-04/30/20
11,ETF,USO,US Oil,0.7121,05/01/17-04/30/21
12,ETF,VGT,Vanguart I.T.,0.7801,05/01/17-04/30/18
13,ETF,XLE,SPDR Energy,0.6477,05/01/17-04/30/18
14,ETF,XLK,SPDR Utilities,0.7978,05/01/17-04/30/18
15,ETF,XLU,SPDR Tech,-0.1865,05/01/17-04/30/18
16,ETF,XLY,Consumer Discretionary,0.7272,05/01/17-04/30/18
17,STOCK,AAPL,Apple,0.8107,05/01/17-04/30/18
18,STOCK,GE,General Electric,-0.8055,05/01/17-04/30/18
19,STOCK,JPM,J.P. Morgan,0.7661,05/01/17-04/30/18
20,STOCK,GOOG,Google,0.7641,05/01/17-04/30/18
21,STOCK,C,Citgroup,0.766,05/01/17-04/30/18
22,Google,GBIT,Bitcoin = search term,-0.7694,05/01/17-04/30/18
23,Google,GBLO,Blockchain,0.937,05/01/17-04/30/18
24,Google,GCRYP,Crypto,0.6477,05/01/17-04/30/18
25,Google,GTRMP,Trump,-0.1865,05/01/17-04/30/18
26,Google,GPRES,President,0.6839,05/01/17-04/30/18
27,Google,GSATO,Satoshi,0.8363,05/01/17-04/30/18
28,Google,GCOMP,Computers,0.4202,05/01/17-04/30/18
29,Google,GETHER,Etherium,0.784,05/01/17-04/30/18
30,Google,GMAF,McAfee,0.8175,05/01/17-04/30/18
31,Google,GBCH,Bitcash,-0.1128,05/01/17-04/30/18
32,Google,GTRA,Trading Bitcoin,-0.7694,05/01/17-04/30/18
33,Google,GBTK,CoinDesk,0.783,05/01/17-04/30/18
34,YouTube,YBIT,Bitcoin = search term,0.7957,05/01/17-04/30/18
35,YouTube,YBLO,Blockchain,0.8368,05/01/17-04/30/18
36,YouTube,YIB,Invest in Bitcoin,0.8613,05/01/17-04/30/18
37,YouTube,YTRA,Trading Bitcoin,0.7801,05/01/17-04/30/18
38,YouTube,YSAT,Satoshi,0.6477,05/01/17-04/30/18
39,YouTube,YMAF,McAfee,0.7978,05/01/17-04/30/18
