Date,Bitcoin,Stock
2017-03-01,1230.016,139.79
2017-03-02,1260.924,138.96
2017-03-03,1290.786,139.78
2017-03-06,1280.868,139.34
2017-03-07,1232.431,139.52
2017-03-08,1150.481,139.0
2017-03-09,1191.815,138.68
2017-03-10,1117.025,139.14
2017-03-13,1243.242,139.2
2017-03-14,1246.309,138.99
2017-03-15,1259.601,140.46
2017-03-16,1172.9089999999999,140.69
2017-03-17,1070.128,139.99
2017-03-20,1041.343,141.46
2017-03-21,1115.039,139.84
2017-03-22,1037.44,141.42
2017-03-23,1029.95,140.92
2017-03-24,935.946,140.64
2017-03-27,1040.491,140.88
2017-03-28,1044.251,143.8
2017-03-29,1040.392,144.12
2017-03-30,1037.527,143.93
2017-03-31,1079.748,143.66
2017-04-03,1147.631,143.7
2017-04-04,1143.746,144.77
2017-04-05,1134.998,144.02
2017-04-06,1190.597,143.66
2017-04-07,1193.019,143.34
2017-04-10,1213.339,143.17
2017-04-11,1224.767,141.63
2017-04-12,1216.505,141.8
2017-04-13,1178.5330000000001,141.05
2017-04-17,1203.731,141.83
2017-04-18,1217.596,141.2
2017-04-19,1226.9389999999999,140.68
2017-04-20,1255.403,142.44
2017-04-21,1257.135,142.27
2017-04-24,1248.325,143.64
2017-04-25,1263.545,144.54
2017-04-26,1284.845,143.6508
2017-04-27,1329.19,143.79
2017-04-28,1320.0513,143.65
2017-05-01,1402.0838,146.6
2017-05-02,1443.6825,147.51
2017-05-03,1491.9988,147.06
2017-05-04,1515.6288,146.53
2017-05-05,1512.2088,148.96
2017-05-08,1639.3225,153.0
2017-05-09,1706.9313,153.96
2017-05-10,1756.8025,153.26
2017-05-11,1807.3725,153.95
2017-05-12,1676.9938,156.1
2017-05-15,1697.3788,155.7
2017-05-16,1718.2013,155.47
2017-05-17,1802.1638,150.25
2017-05-18,1887.3263,152.54
2017-05-19,1968.1025,152.96
2017-05-22,2139.0275,153.99
2017-05-23,2291.4775,153.8
2017-05-24,2476.2963,153.34
2017-05-25,2357.5038,153.87
2017-05-26,2247.4825,153.61
2017-05-30,2197.2338,153.67
2017-05-31,2330.2338,152.76
2017-06-01,2452.1813,153.18
2017-06-02,2517.4088,155.45
2017-06-05,2736.595,153.93
2017-06-06,2914.0825,154.45
2017-06-07,2694.2188,155.37
2017-06-08,2825.0313,154.99
2017-06-09,2826.7,148.98
2017-06-12,2682.595,145.32
2017-06-13,2738.9313,146.59
2017-06-14,2494.485,145.16
2017-06-15,2456.9238,144.29
2017-06-16,2528.1025,142.27
2017-06-19,2641.665,146.34
2017-06-20,2778.8275,145.01
2017-06-21,2712.1575,145.87
2017-06-22,2740.79,145.63
2017-06-23,2738.225,146.35
2017-06-26,2485.3588,145.82
2017-06-27,2593.17,143.74
2017-06-28,2584.5638,145.83
2017-06-29,2561.5613,143.68
2017-06-30,2499.9838,144.02
2017-07-03,2581.0663,143.5
2017-07-05,2629.2725,144.09
2017-07-06,2619.1125,142.73
2017-07-07,2521.2363,144.18
2017-07-10,2371.96,145.06
2017-07-11,2332.1875,145.53
2017-07-12,2423.16,145.74
2017-07-13,2364.5163,147.77
2017-07-14,2232.655,149.04
2017-07-17,2244.265,149.56
2017-07-18,2327.8975,150.08
2017-07-19,2294.405,151.02
2017-07-20,2877.3863,150.34
2017-07-21,2694.2913,150.27
2017-07-24,2779.0438,152.09
2017-07-25,2591.2163,152.74
2017-07-26,2550.18,153.46
2017-07-27,2697.4725,150.56
2017-07-28,2805.1788,149.5
2017-07-31,2873.8325,148.85
2017-08-01,2735.5875,150.05
2017-08-02,2723.58,157.14
2017-08-03,2814.3613,155.57
2017-08-04,2883.6813,156.39
2017-08-08,3453.1625,160.08
2017-08-09,3377.5438,161.06
2017-08-10,3445.28,155.27
2017-08-11,3679.6075,157.48
2017-08-14,4382.7413,159.85
2017-08-15,4204.43,161.6
2017-08-16,4425.2963,160.95
2017-08-17,4316.34,157.87
2017-08-18,4159.4575,157.5
2017-08-21,4054.9425,157.21
2017-08-22,4137.6725,159.78
2017-08-23,4191.2175,159.98
2017-08-24,4362.475,159.27
2017-08-25,4408.3238,159.86
2017-08-28,4439.6588,161.47
2017-08-29,4648.1338,162.91
2017-08-30,4630.7275,163.35
2017-08-31,4764.8675,164.0
2017-09-01,4950.7238,164.05
2017-09-05,4422.1213,162.08
2017-09-06,4626.72,161.91
2017-09-07,4638.0975,161.26
2017-09-08,4317.5375,158.63
2017-09-11,4188.845,161.5
2017-09-12,4148.2675,160.82
2017-09-13,3874.2588,159.65
2017-09-14,3226.4125,158.28
2017-09-15,3686.9,159.88
2017-09-18,4067.0775,158.67
2017-09-19,3896.9988,158.73
2017-09-20,3858.0888,156.07
2017-09-21,3612.6813,153.39
2017-09-22,3603.3088,151.89
2017-09-25,3927.4988,150.55
2017-09-26,3895.5125,153.14
2017-09-27,4208.5613,154.23
2017-09-28,4185.2925,153.28
2017-09-29,4164.1038,154.12
2017-10-02,4404.0975,153.81
2017-10-03,4320.09,154.48
2017-10-04,4225.9238,153.4508
2017-10-05,4322.755,155.39
2017-10-06,4370.245,155.3
2017-10-09,4772.975,155.84
2017-10-10,4754.6988,155.9
2017-10-11,4830.7663,156.55
2017-10-12,5439.1338,156.0
2017-10-13,5640.1275,156.99
