Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,32.740002,32.740002,32.110001,32.110001,32.110001,3100
2018-04-03,32.480000,32.492001,32.189999,32.349998,32.349998,2300
2018-04-04,32.000000,32.685001,32.000000,32.685001,32.685001,600
2018-04-05,33.230999,33.464001,33.230999,33.452000,33.452000,1100
2018-04-06,32.889999,32.889999,32.889999,32.889999,32.889999,300
2018-04-09,33.000000,33.080002,32.880001,32.974998,32.974998,6500
2018-04-10,33.248001,33.251999,33.248001,33.251999,33.251999,1300
2018-04-11,33.250000,33.259998,33.250000,33.250000,33.250000,600
2018-04-12,33.549999,33.549999,33.549999,33.549999,33.549999,200
2018-04-13,33.650002,33.650002,33.509998,33.509998,33.509998,800
2018-04-16,33.639999,33.639999,33.625999,33.639999,33.639999,600
2018-04-17,34.153999,34.459999,34.153999,34.459999,34.459999,3500
2018-04-18,34.422001,34.619999,34.422001,34.591000,34.591000,7600
2018-04-19,33.978001,34.160000,33.978001,34.139000,34.139000,800
2018-04-20,35.320000,35.320000,34.168999,34.168999,34.168999,600
2018-04-23,35.000000,35.000000,33.470001,33.900002,33.900002,900
2018-04-24,34.000000,34.000000,33.450001,33.450001,33.450001,700
2018-04-25,33.200001,33.200001,33.160000,33.160000,33.160000,700
2018-04-26,33.580002,34.009998,33.580002,33.919998,33.919998,8000
2018-04-27,34.209999,34.209999,33.860001,33.910000,33.910000,1900
2018-04-30,34.000000,33.789001,33.789001,33.789001,33.789001,2153
