Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,60.070000,60.189999,59.259998,59.459999,59.459999,10854200
2018-04-03,60.020000,60.209999,59.750000,60.209999,60.209999,9157500
2018-04-04,59.349998,60.299999,59.299999,60.270000,60.270000,9602200
2018-04-05,60.470001,60.730000,60.400002,60.570000,60.570000,8220500
2018-04-06,60.070000,60.230000,59.400002,59.619999,59.619999,10464500
2018-04-09,60.250000,60.599998,60.139999,60.150002,60.150002,6450800
2018-04-10,60.500000,60.619999,60.299999,60.480000,60.480000,8930200
2018-04-11,60.279999,60.680000,60.259998,60.330002,60.330002,4583000
2018-04-12,60.130001,60.389999,60.119999,60.230000,60.230000,6153100
2018-04-13,60.330002,60.340000,60.040001,60.230000,60.230000,4099600
2018-04-16,60.549999,60.560001,60.349998,60.400002,60.400002,6153200
2018-04-17,60.459999,60.790001,60.360001,60.630001,60.630001,4759600
2018-04-18,61.000000,61.139999,60.970001,61.040001,61.040001,6430600
2018-04-19,60.790001,60.880001,60.630001,60.810001,60.810001,4764300
2018-04-20,60.840000,60.869999,60.619999,60.689999,60.689999,3804300
2018-04-23,60.639999,60.689999,60.400002,60.610001,60.610001,8116000
2018-04-24,60.790001,60.840000,60.220001,60.389999,60.389999,7217800
2018-04-25,60.580002,60.650002,60.360001,60.580002,60.580002,5661900
2018-04-26,60.880001,61.000000,60.779999,60.950001,60.950001,7393800
2018-04-27,60.959999,61.020000,60.759998,60.779999,60.779999,4887900
