Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,22.080000,22.150000,21.860001,22.040001,22.040001,2731100
2018-04-03,22.170000,22.320000,22.150000,22.230000,22.230000,1261200
2018-04-04,22.510000,22.650000,22.280001,22.330000,22.330000,2398700
2018-04-05,22.250000,22.330000,21.920000,22.090000,22.090000,2257900
2018-04-06,22.290001,22.340000,22.219999,22.240000,22.240000,1364100
2018-04-09,22.170000,22.299999,21.780001,22.250000,22.250000,2852000
2018-04-10,21.940001,22.020000,21.830000,21.940001,21.940001,2455600
2018-04-11,22.110001,22.180000,22.000000,22.020000,22.020000,1538300
2018-04-12,22.150000,22.240000,21.980000,22.190001,22.190001,2432700
2018-04-13,22.559999,22.750000,22.510000,22.570000,22.570000,2340400
2018-04-16,22.760000,22.900000,22.670000,22.690001,22.690001,1386600
2018-04-17,22.650000,22.770000,22.580000,22.600000,22.600000,2216100
2018-04-18,22.840000,22.980000,22.540001,22.610001,22.610001,2926200
2018-04-19,22.190001,22.520000,21.969999,22.090000,22.090000,4147700
2018-04-20,22.180000,22.600000,22.160000,22.559999,22.559999,5173900
2018-04-23,22.469999,22.700001,22.469999,22.620001,22.620001,3393400
2018-04-24,22.760000,22.950001,22.740000,22.910000,22.910000,2792300
2018-04-25,22.820000,22.940001,22.709999,22.930000,22.930000,1061200
2018-04-26,22.910000,23.180000,22.900000,23.049999,23.049999,2937700
2018-04-27,22.750000,22.780001,22.580000,22.600000,22.600000,2059400
2018-04-30,22.360001,22.570000,22.250000,22.559999,22.559999,2183225
