Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,12.980000,12.980000,12.700000,12.740000,12.740000,19311400
2018-04-03,12.780000,12.860000,12.720000,12.810000,12.810000,9174600
2018-04-04,12.550000,12.830000,12.520000,12.820000,12.820000,20310800
2018-04-05,12.820000,12.940000,12.740000,12.830000,12.830000,17246300
2018-04-06,12.800000,12.850000,12.470000,12.510000,12.510000,25180100
2018-04-09,12.690000,12.830000,12.670000,12.770000,12.770000,12814100
2018-04-10,13.020000,13.270000,13.020000,13.250000,13.250000,23747600
2018-04-11,13.300000,13.590000,13.250000,13.450000,13.450000,24684500
2018-04-12,13.400000,13.540000,13.300000,13.520000,13.520000,14872000
2018-04-13,13.550000,13.640000,13.500000,13.550000,13.550000,14162800
2018-04-16,13.490000,13.500000,13.340000,13.380000,13.380000,14024600
2018-04-17,13.270000,13.440000,13.240000,13.410000,13.410000,13155100
2018-04-18,13.700000,13.900000,13.640000,13.880000,13.880000,26579100
2018-04-19,13.950000,14.000000,13.720000,13.770000,13.770000,17428400
2018-04-20,13.660000,13.840000,13.620000,13.750000,13.750000,11831000
2018-04-23,13.610000,13.940000,13.550000,13.920000,13.920000,16592800
2018-04-24,13.850000,14.000000,13.630000,13.680000,13.680000,20080400
2018-04-25,13.690000,13.760000,13.550000,13.720000,13.720000,13658500
2018-04-26,13.830000,13.840000,13.670000,13.770000,13.770000,17213700
2018-04-27,13.680000,13.800000,13.670000,13.730000,13.730000,12783600
2018-04-30,13.620000,14.000000,13.600000,13.800000,13.800000,28894194
