Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,50.619999,50.860001,49.779999,50.139999,50.139999,17792600
2018-04-03,50.049999,50.549999,49.919998,50.310001,50.310001,13798800
2018-04-04,50.299999,50.549999,49.889999,50.419998,50.419998,16357300
2018-04-05,50.410000,50.970001,49.849998,50.820000,50.820000,14286300
2018-04-06,50.889999,51.000000,50.310001,50.419998,50.419998,14312000
2018-04-09,50.459999,50.869999,50.290001,50.520000,50.520000,11756100
2018-04-10,50.529999,50.590000,50.020000,50.130001,50.130001,14091200
2018-04-11,50.110001,50.290001,49.889999,50.060001,50.060001,8024100
2018-04-12,50.070000,50.200001,49.299999,49.400002,49.400002,12078800
2018-04-13,49.490002,50.009998,49.490002,49.790001,49.790001,10437300
2018-04-16,49.900002,50.500000,49.869999,50.470001,50.470001,15397600
2018-04-17,50.590000,51.160000,50.380001,50.980000,50.980000,13194500
2018-04-18,51.040001,51.490002,50.779999,50.790001,50.790001,14120000
2018-04-19,50.610001,50.880001,50.349998,50.759998,50.759998,15167700
2018-04-20,50.700001,50.820000,50.139999,50.299999,50.299999,14080000
2018-04-23,50.369999,50.619999,50.139999,50.330002,50.330002,11937000
2018-04-24,50.369999,50.980000,50.290001,50.669998,50.669998,16904400
2018-04-25,50.490002,50.860001,50.299999,50.680000,50.680000,13407500
2018-04-26,50.730000,51.259998,50.500000,51.189999,51.189999,11767100
2018-04-27,51.130001,51.900002,51.029999,51.709999,51.709999,17153100
2018-04-30,51.790001,51.955002,51.509998,51.549999,51.549999,12500616
