Category: All categories

Week,bitcoin: (Worldwide),blockchain: (Worldwide)
2017-04-30,7,1
2017-05-07,10,1
2017-05-14,11,1
2017-05-21,19,1
2017-05-28,12,1
2017-06-04,12,1
2017-06-11,13,1
2017-06-18,11,2
2017-06-25,11,1
2017-07-02,9,1
2017-07-09,10,1
2017-07-16,12,1
2017-07-23,11,1
2017-07-30,15,1
2017-08-06,14,1
2017-08-13,20,2
2017-08-20,15,2
2017-08-27,17,2
2017-09-03,18,2
2017-09-10,21,2
2017-09-17,16,2
2017-09-24,12,2
2017-10-01,13,2
2017-10-08,19,2
2017-10-15,19,2
2017-10-22,21,2
2017-10-29,27,2
2017-11-05,28,3
2017-11-12,30,3
2017-11-19,27,2
2017-11-26,66,4
2017-12-03,92,5
2017-12-10,85,4
2017-12-17,100,5
2017-12-24,63,4
2017-12-31,46,4
2018-01-07,46,4
2018-01-14,55,4
2018-01-21,38,3
2018-01-28,40,3
2018-02-04,47,3
2018-02-11,27,3
2018-02-18,25,3
2018-02-25,19,3
2018-03-04,19,2
2018-03-11,19,3
2018-03-18,18,2
2018-03-25,17,2
2018-04-01,17,2
2018-04-08,15,2
2018-04-15,14,2
2018-04-22,15,2
