Category: All categories

Week,bitcoin: (Worldwide)
2017-04-30,7
2017-05-07,10
2017-05-14,11
2017-05-21,19
2017-05-28,12
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,14
2017-08-13,20
2017-08-20,15
2017-08-27,17
2017-09-03,18
2017-09-10,21
2017-09-17,16
2017-09-24,12
2017-10-01,13
2017-10-08,19
2017-10-15,19
2017-10-22,21
2017-10-29,27
2017-11-05,28
2017-11-12,30
2017-11-19,27
2017-11-26,66
2017-12-03,92
2017-12-10,85
2017-12-17,100
2017-12-24,63
2017-12-31,46
2018-01-07,46
2018-01-14,55
2018-01-21,38
2018-01-28,40
2018-02-04,47
2018-02-11,27
2018-02-18,25
2018-02-25,19
2018-03-04,19
2018-03-11,19
2018-03-18,18
2018-03-25,17
2018-04-01,17
2018-04-08,15
2018-04-15,14
2018-04-22,15
