Category: All categories

Week,bitcoin: (Worldwide),etherium: (Worldwide)
2017-04-30,7,<1
2017-05-07,10,<1
2017-05-14,11,<1
2017-05-21,19,<1
2017-05-28,12,<1
2017-06-04,12,<1
2017-06-11,13,1
2017-06-18,11,<1
2017-06-25,11,<1
2017-07-02,9,<1
2017-07-09,10,<1
2017-07-16,12,<1
2017-07-23,11,<1
2017-07-30,15,<1
2017-08-06,14,<1
2017-08-13,20,<1
2017-08-20,15,<1
2017-08-27,17,<1
2017-09-03,18,<1
2017-09-10,21,<1
2017-09-17,16,<1
2017-09-24,12,<1
2017-10-01,13,<1
2017-10-08,19,<1
2017-10-15,19,<1
2017-10-22,21,<1
2017-10-29,27,<1
2017-11-05,28,<1
2017-11-12,30,<1
2017-11-19,27,<1
2017-11-26,66,<1
2017-12-03,92,<1
2017-12-10,85,1
2017-12-17,100,1
2017-12-24,63,<1
2017-12-31,46,<1
2018-01-07,46,1
2018-01-14,55,<1
2018-01-21,38,<1
2018-01-28,40,<1
2018-02-04,47,<1
2018-02-11,27,<1
2018-02-18,25,<1
2018-02-25,19,<1
2018-03-04,19,<1
2018-03-11,19,<1
2018-03-18,18,<1
2018-03-25,17,<1
2018-04-01,17,<1
2018-04-08,15,<1
2018-04-15,14,<1
2018-04-22,15,<1
