Category: All categories

Week,blockchain: (Worldwide)
2017-04-30,19
2017-05-07,22
2017-05-14,25
2017-05-21,28
2017-05-28,25
2017-06-04,29
2017-06-11,28
2017-06-18,32
2017-06-25,28
2017-07-02,23
2017-07-09,26
2017-07-16,26
2017-07-23,25
2017-07-30,27
2017-08-06,26
2017-08-13,32
2017-08-20,33
2017-08-27,35
2017-09-03,34
2017-09-10,34
2017-09-17,36
2017-09-24,34
2017-10-01,35
2017-10-08,41
2017-10-15,44
2017-10-22,45
2017-10-29,50
2017-11-05,52
2017-11-12,52
2017-11-19,50
2017-11-26,72
2017-12-03,91
2017-12-10,89
2017-12-17,100
2017-12-24,71
2017-12-31,74
2018-01-07,90
2018-01-14,79
2018-01-21,69
2018-01-28,64
2018-02-04,56
2018-02-11,55
2018-02-18,57
2018-02-25,52
2018-03-04,48
2018-03-11,52
2018-03-18,50
2018-03-25,44
2018-04-01,42
2018-04-08,45
2018-04-15,46
2018-04-22,46
