Category: All categories

Week,commodities: (Worldwide)
2017-04-30,66
2017-05-07,65
2017-05-14,70
2017-05-21,67
2017-05-28,59
2017-06-04,62
2017-06-11,65
2017-06-18,67
2017-06-25,65
2017-07-02,71
2017-07-09,68
2017-07-16,70
2017-07-23,70
2017-07-30,70
2017-08-06,68
2017-08-13,69
2017-08-20,69
2017-08-27,71
2017-09-03,74
2017-09-10,88
2017-09-17,87
2017-09-24,86
2017-10-01,74
2017-10-08,82
2017-10-15,87
2017-10-22,93
2017-10-29,95
2017-11-05,100
2017-11-12,100
2017-11-19,87
2017-11-26,97
2017-12-03,90
2017-12-10,82
2017-12-17,65
2017-12-24,62
2017-12-31,66
2018-01-07,75
2018-01-14,70
2018-01-21,76
2018-01-28,74
2018-02-04,82
2018-02-11,77
2018-02-18,75
2018-02-25,78
2018-03-04,76
2018-03-11,68
2018-03-18,69
2018-03-25,63
2018-04-01,68
2018-04-08,70
2018-04-15,72
2018-04-22,68
