Category: All categories

Week,Cryptocurrency: (Worldwide)
2017-04-30,4
2017-05-07,6
2017-05-14,6
2017-05-21,11
2017-05-28,10
2017-06-04,12
2017-06-11,15
2017-06-18,14
2017-06-25,14
2017-07-02,12
2017-07-09,12
2017-07-16,12
2017-07-23,11
2017-07-30,11
2017-08-06,13
2017-08-13,16
2017-08-20,16
2017-08-27,19
2017-09-03,20
2017-09-10,18
2017-09-17,14
2017-09-24,13
2017-10-01,14
2017-10-08,16
2017-10-15,18
2017-10-22,16
2017-10-29,19
2017-11-05,21
2017-11-12,21
2017-11-19,23
2017-11-26,42
2017-12-03,59
2017-12-10,78
2017-12-17,94
2017-12-24,74
2017-12-31,100
2018-01-07,99
2018-01-14,92
2018-01-21,56
2018-01-28,58
2018-02-04,54
2018-02-11,36
2018-02-18,37
2018-02-25,28
2018-03-04,27
2018-03-11,27
2018-03-18,25
2018-03-25,23
2018-04-01,23
2018-04-08,21
2018-04-15,21
2018-04-22,21
