Category: All categories

Week,currencies: (Worldwide)
2017-04-30,47
2017-05-07,42
2017-05-14,45
2017-05-21,54
2017-05-28,50
2017-06-04,51
2017-06-11,54
2017-06-18,48
2017-06-25,47
2017-07-02,45
2017-07-09,48
2017-07-16,49
2017-07-23,52
2017-07-30,48
2017-08-06,51
2017-08-13,51
2017-08-20,46
2017-08-27,55
2017-09-03,57
2017-09-10,53
2017-09-17,49
2017-09-24,54
2017-10-01,50
2017-10-08,49
2017-10-15,49
2017-10-22,56
2017-10-29,54
2017-11-05,56
2017-11-12,55
2017-11-19,55
2017-11-26,71
2017-12-03,84
2017-12-10,98
2017-12-17,100
2017-12-24,76
2017-12-31,92
2018-01-07,95
2018-01-14,72
2018-01-21,66
2018-01-28,66
2018-02-04,64
2018-02-11,54
2018-02-18,56
2018-02-25,51
2018-03-04,49
2018-03-11,51
2018-03-18,53
2018-03-25,47
2018-04-01,40
2018-04-08,51
2018-04-15,43
2018-04-22,43
