Category: All categories

Week,data science: (Worldwide)
2017-04-30,67
2017-05-07,73
2017-05-14,71
2017-05-21,72
2017-05-28,73
2017-06-04,75
2017-06-11,73
2017-06-18,75
2017-06-25,73
2017-07-02,68
2017-07-09,78
2017-07-16,70
2017-07-23,73
2017-07-30,74
2017-08-06,74
2017-08-13,79
2017-08-20,79
2017-08-27,85
2017-09-03,90
2017-09-10,95
2017-09-17,88
2017-09-24,86
2017-10-01,88
2017-10-08,87
2017-10-15,88
2017-10-22,91
2017-10-29,88
2017-11-05,95
2017-11-12,93
2017-11-19,81
2017-11-26,87
2017-12-03,92
2017-12-10,87
2017-12-17,78
2017-12-24,69
2017-12-31,88
2018-01-07,99
2018-01-14,96
2018-01-21,100
2018-01-28,98
2018-02-04,98
2018-02-11,96
2018-02-18,93
2018-02-25,99
2018-03-04,98
2018-03-11,100
2018-03-18,99
2018-03-25,99
2018-04-01,95
2018-04-08,98
2018-04-15,98
2018-04-22,95
