Category: All categories

Week,mining: (Worldwide)
2017-04-30,41
2017-05-07,43
2017-05-14,43
2017-05-21,48
2017-05-28,49
2017-06-04,56
2017-06-11,61
2017-06-18,63
2017-06-25,59
2017-07-02,58
2017-07-09,55
2017-07-16,52
2017-07-23,51
2017-07-30,52
2017-08-06,52
2017-08-13,56
2017-08-20,56
2017-08-27,56
2017-09-03,57
2017-09-10,54
2017-09-17,50
2017-09-24,50
2017-10-01,49
2017-10-08,52
2017-10-15,56
2017-10-22,57
2017-10-29,60
2017-11-05,63
2017-11-12,63
2017-11-19,62
2017-11-26,79
2017-12-03,100
2017-12-10,100
2017-12-17,96
2017-12-24,81
2017-12-31,87
2018-01-07,97
2018-01-14,91
2018-01-21,85
2018-01-28,78
2018-02-04,71
2018-02-11,67
2018-02-18,63
2018-02-25,59
2018-03-04,58
2018-03-11,56
2018-03-18,52
2018-03-25,51
2018-04-01,49
2018-04-08,49
2018-04-15,48
2018-04-22,48
