Category: All categories

Week,what is bitcoin: (Worldwide)
2017-04-30,5
2017-05-07,6
2017-05-14,10
2017-05-21,16
2017-05-28,9
2017-06-04,8
2017-06-11,8
2017-06-18,7
2017-06-25,9
2017-07-02,6
2017-07-09,7
2017-07-16,7
2017-07-23,8
2017-07-30,10
2017-08-06,11
2017-08-13,14
2017-08-20,13
2017-08-27,12
2017-09-03,13
2017-09-10,12
2017-09-17,11
2017-09-24,9
2017-10-01,9
2017-10-08,14
2017-10-15,16
2017-10-22,16
2017-10-29,23
2017-11-05,21
2017-11-12,23
2017-11-19,22
2017-11-26,65
2017-12-03,100
2017-12-10,92
2017-12-17,87
2017-12-24,48
2017-12-31,39
2018-01-07,42
2018-01-14,38
2018-01-21,28
2018-01-28,27
2018-02-04,26
2018-02-11,19
2018-02-18,17
2018-02-25,14
2018-03-04,14
2018-03-11,13
2018-03-18,13
2018-03-25,11
2018-04-01,10
2018-04-08,9
2018-04-15,9
2018-04-22,9
