,Date,Bitcoin,C,B,S
0,2017-04-03,1147.631,59.68,0.0007087028491083169,0.08765652951699465
1,2017-04-04,1143.746,59.68,0.0004907569479933177,0.08765652951699465
2,2017-04-05,1134.998,59.59,0.0,0.0836314847942754
3,2017-04-06,1190.597,59.89,0.003119066706845003,0.09704830053667246
4,2017-04-07,1193.019,59.43,0.0032549392866392246,0.07647584973166355
5,2017-04-10,1213.339,59.28,0.004394877693500679,0.06976744186046524
6,2017-04-11,1224.767,59.03,0.005035980848698177,0.058586762075134136
7,2017-04-12,1216.505,58.51,0.004572488175593387,0.03533094812164572
8,2017-04-13,1178.5330000000001,58.04,0.002442284377102061,0.014311270125223707
9,2017-04-17,1203.731,58.99,0.003855875320807528,0.05679785330948128
10,2017-04-18,1217.596,58.42,0.004633692545764928,0.03130590339892647
11,2017-04-19,1226.9389999999999,57.73,0.005157828595730801,0.0004472271914131021
12,2017-04-20,1255.403,58.41,0.006754639954633601,0.03085867620751337
13,2017-04-21,1257.135,57.72,0.006851803996005837,0.0
14,2017-04-24,1248.325,59.44,0.006357568889487658,0.07692307692307665
15,2017-04-25,1263.545,60.21,0.007211400708012836,0.11135957066189617
16,2017-04-26,1284.845,60.1,0.008406316459299693,0.10644007155635071
17,2017-04-27,1329.19,59.39,0.010894041294549295,0.0746869409660107
18,2017-04-28,1320.0513,59.12,0.010381366337916184,0.06261180679785294
19,2017-05-01,1402.0838,59.46,0.014983334711974397,0.0778175313059033
20,2017-05-02,1443.6825,59.71,0.017316993954371432,0.0889982110912344
21,2017-05-03,1491.9988,60.24,0.020027506063005338,0.11270125223613592
22,2017-05-04,1515.6288,60.21,0.021353133255630152,0.11135957066189617
23,2017-05-05,1512.2088,60.24,0.02116127354345171,0.11270125223613592
24,2017-05-08,1639.3225,60.5,0.02829226708027581,0.12432915921288012
25,2017-05-09,1706.9313,60.23,0.032085075533121066,0.11225402504472237
26,2017-05-10,1756.8025,60.37,0.034882816491598884,0.11851520572450802
27,2017-05-11,1807.3725,60.7,0.03771975966261189,0.13327370304114483
28,2017-05-12,1676.9938,61.07,0.030405601809921495,0.1498211091234345
29,2017-05-15,1697.3788,61.42,0.03154918667330098,0.16547406082289795
30,2017-05-16,1718.2013,62.49,0.032717314994013216,0.21332737030411453
31,2017-05-17,1802.1638,59.98,0.03742755507699087,0.10107334525939171
32,2017-05-18,1887.3263,60.08,0.0422051143572241,0.10554561717352406
33,2017-05-19,1968.1025,61.1,0.046736605141688814,0.15116279069767424
34,2017-05-22,2139.0275,61.06,0.05632538330078311,0.1493738819320214
35,2017-05-23,2291.4775,61.71,0.06487772631879639,0.1784436493738819
36,2017-05-24,2476.2963,62.27,0.07524593736358222,0.20348837209302317
37,2017-05-25,2357.5038,61.95,0.06858175758026082,0.1891771019677999
38,2017-05-26,2247.4825,62.07,0.06240963624941302,0.19454382826475847
39,2017-05-30,2197.2338,61.64,0.05959071779346521,0.1753130590339893
40,2017-05-31,2330.2338,60.54,0.06705192882262735,0.12611806797853298
41,2017-06-01,2452.1813,61.08,0.07389310199539993,0.1502683363148476
42,2017-06-02,2517.4088,61.11,0.07755232111122455,0.1516100178890878
43,2017-06-05,2736.595,61.25,0.08984852030581204,0.157871198568873
44,2017-06-06,2914.0825,61.01,0.09980545032489789,0.147137745974955
45,2017-06-07,2694.2188,61.88,0.08747124383352649,0.18604651162790686
46,2017-06-08,2825.0313,63.21,0.09480973757602477,0.24552772808586765
47,2017-06-09,2826.7,64.45,0.09490335052974176,0.3009838998211092
48,2017-06-12,2682.595,64.32,0.08681915642931011,0.29516994633273663
49,2017-06-13,2738.9313,64.69,0.0899795851729356,0.31171735241502674
50,2017-06-14,2494.485,64.72,0.07626631126618465,0.3130590339892665
51,2017-06-15,2456.9238,64.1,0.07415915307288713,0.2853309481216453
52,2017-06-16,2528.1025,63.89,0.07815223052763469,0.2759391771019679
53,2017-06-19,2641.665,64.48,0.08452301080958376,0.30232558139534893
54,2017-06-20,2778.8275,63.91,0.09221773530422624,0.2768336314847941
55,2017-06-21,2712.1575,63.83,0.0884775929033673,0.2732558139534884
56,2017-06-22,2740.79,63.62,0.09008385699955142,0.26386404293381016
57,2017-06-23,2738.225,63.41,0.08993996221541757,0.25447227191413235
58,2017-06-26,2485.3588,63.78,0.07575433755118959,0.271019677996422
