Date,Bitcoin,C
2017-04-03,1147.631,59.68
2017-04-04,1143.746,59.68
2017-04-05,1134.998,59.59
2017-04-06,1190.597,59.89
2017-04-07,1193.019,59.43
2017-04-10,1213.339,59.28
2017-04-11,1224.767,59.03
2017-04-12,1216.505,58.51
2017-04-13,1178.5330000000001,58.04
2017-04-17,1203.731,58.99
2017-04-18,1217.596,58.42
2017-04-19,1226.9389999999999,57.73
2017-04-20,1255.403,58.41
2017-04-21,1257.135,57.72
2017-04-24,1248.325,59.44
2017-04-25,1263.545,60.21
2017-04-26,1284.845,60.1
2017-04-27,1329.19,59.39
2017-04-28,1320.0513,59.12
2017-05-01,1402.0838,59.46
2017-05-02,1443.6825,59.71
2017-05-03,1491.9988,60.24
2017-05-04,1515.6288,60.21
2017-05-05,1512.2088,60.24
2017-05-08,1639.3225,60.5
2017-05-09,1706.9313,60.23
2017-05-10,1756.8025,60.37
2017-05-11,1807.3725,60.7
2017-05-12,1676.9938,61.07
2017-05-15,1697.3788,61.42
2017-05-16,1718.2013,62.49
2017-05-17,1802.1638,59.98
2017-05-18,1887.3263,60.08
2017-05-19,1968.1025,61.1
2017-05-22,2139.0275,61.06
2017-05-23,2291.4775,61.71
2017-05-24,2476.2963,62.27
2017-05-25,2357.5038,61.95
2017-05-26,2247.4825,62.07
2017-05-30,2197.2338,61.64
2017-05-31,2330.2338,60.54
2017-06-01,2452.1813,61.08
2017-06-02,2517.4088,61.11
2017-06-05,2736.595,61.25
2017-06-06,2914.0825,61.01
2017-06-07,2694.2188,61.88
2017-06-08,2825.0313,63.21
2017-06-09,2826.7,64.45
2017-06-12,2682.595,64.32
2017-06-13,2738.9313,64.69
2017-06-14,2494.485,64.72
2017-06-15,2456.9238,64.1
2017-06-16,2528.1025,63.89
2017-06-19,2641.665,64.48
2017-06-20,2778.8275,63.91
2017-06-21,2712.1575,63.83
2017-06-22,2740.79,63.62
2017-06-23,2738.225,63.41
2017-06-26,2485.3588,63.78
2017-06-27,2593.17,64.23
2017-06-28,2584.5638,65.18
2017-06-29,2561.5613,66.98
2017-06-30,2499.9838,66.88
2017-07-03,2581.0663,68.26
2017-07-05,2629.2725,68.45
2017-07-06,2619.1125,67.63
2017-07-07,2521.2363,67.91
2017-07-10,2371.96,67.65
2017-07-11,2332.1875,66.82
2017-07-12,2423.16,66.92
2017-07-13,2364.5163,67.02
2017-07-14,2232.655,66.72
