Category: All categories

Week,bitcoin: (Worldwide)
2017-04-30,25
2017-05-07,30
2017-05-14,35
2017-05-21,49
2017-05-28,40
2017-06-04,43
2017-06-11,46
2017-06-18,42
2017-06-25,43
2017-07-02,42
2017-07-09,48
2017-07-16,43
2017-07-23,44
2017-07-30,34
2017-08-06,24
2017-08-13,28
2017-08-20,28
2017-08-27,27
2017-09-03,28
2017-09-10,27
2017-09-17,24
2017-09-24,22
2017-10-01,22
2017-10-08,27
2017-10-15,29
2017-10-22,33
2017-10-29,41
2017-11-05,43
2017-11-12,42
2017-11-19,44
2017-11-26,69
2017-12-03,90
2017-12-10,100
2017-12-17,96
2017-12-24,64
2017-12-31,58
2018-01-07,61
2018-01-14,57
2018-01-21,48
2018-01-28,44
2018-02-04,43
2018-02-11,33
2018-02-18,30
2018-02-25,33
2018-03-04,30
2018-03-11,27
2018-03-18,23
2018-03-25,22
2018-04-01,21
2018-04-08,20
2018-04-15,18
2018-04-22,19
