Category: All categories

Week,bitcoin mining: (Worldwide)
2017-04-30,28
2017-05-07,31
2017-05-14,43
2017-05-21,63
2017-05-28,55
2017-06-04,60
2017-06-11,80
2017-06-18,72
2017-06-25,83
2017-07-02,80
2017-07-09,72
2017-07-16,67
2017-07-23,66
2017-07-30,40
2017-08-06,31
2017-08-13,37
2017-08-20,35
2017-08-27,38
2017-09-03,37
2017-09-10,32
2017-09-17,31
2017-09-24,29
2017-10-01,28
2017-10-08,33
2017-10-15,40
2017-10-22,42
2017-10-29,51
2017-11-05,49
2017-11-12,49
2017-11-19,51
2017-11-26,76
2017-12-03,100
2017-12-10,100
2017-12-17,88
2017-12-24,65
2017-12-31,57
2018-01-07,61
2018-01-14,50
2018-01-21,46
2018-01-28,38
2018-02-04,30
2018-02-11,27
2018-02-18,27
2018-02-25,24
2018-03-04,23
2018-03-11,19
2018-03-18,17
2018-03-25,17
2018-04-01,16
2018-04-08,14
2018-04-15,14
2018-04-22,15
