Category: All categories

Week,cryptocurrency: (Worldwide)
2017-04-30,9
2017-05-07,10
2017-05-14,13
2017-05-21,20
2017-05-28,20
2017-06-04,23
2017-06-11,25
2017-06-18,28
2017-06-25,26
2017-07-02,30
2017-07-09,27
2017-07-16,20
2017-07-23,24
2017-07-30,12
2017-08-06,14
2017-08-13,15
2017-08-20,16
2017-08-27,19
2017-09-03,20
2017-09-10,15
2017-09-17,15
2017-09-24,16
2017-10-01,14
2017-10-08,15
2017-10-15,18
2017-10-22,18
2017-10-29,19
2017-11-05,22
2017-11-12,23
2017-11-19,27
2017-11-26,39
2017-12-03,51
2017-12-10,75
2017-12-17,81
2017-12-24,64
2017-12-31,87
2018-01-07,100
2018-01-14,78
2018-01-21,54
2018-01-28,52
2018-02-04,44
2018-02-11,34
2018-02-18,28
2018-02-25,23
2018-03-04,24
2018-03-11,30
2018-03-18,20
2018-03-25,17
2018-04-01,15
2018-04-08,15
2018-04-15,15
2018-04-22,16
