Category: All categories

Week,data science: (Worldwide)
2017-04-30,64
2017-05-07,64
2017-05-14,61
2017-05-21,74
2017-05-28,73
2017-06-04,57
2017-06-11,76
2017-06-18,89
2017-06-25,90
2017-07-02,100
2017-07-09,75
2017-07-16,100
2017-07-23,64
2017-07-30,50
2017-08-06,30
2017-08-13,34
2017-08-20,32
2017-08-27,38
2017-09-03,33
2017-09-10,38
2017-09-17,32
2017-09-24,36
2017-10-01,37
2017-10-08,41
2017-10-15,33
2017-10-22,36
2017-10-29,39
2017-11-05,38
2017-11-12,42
2017-11-19,37
2017-11-26,35
2017-12-03,39
2017-12-10,40
2017-12-17,30
2017-12-24,32
2017-12-31,39
2018-01-07,32
2018-01-14,41
2018-01-21,44
2018-01-28,45
2018-02-04,44
2018-02-11,47
2018-02-18,54
2018-02-25,44
2018-03-04,41
2018-03-11,47
2018-03-18,47
2018-03-25,45
2018-04-01,42
2018-04-08,48
2018-04-15,48
2018-04-22,43
