Category: All categories

Week,what is bitcoin: (Worldwide)
2017-04-30,8
2017-05-07,13
2017-05-14,28
2017-05-21,20
2017-05-28,27
2017-06-04,16
2017-06-11,25
2017-06-18,27
2017-06-25,19
2017-07-02,16
2017-07-09,26
2017-07-16,19
2017-07-23,25
2017-07-30,16
2017-08-06,14
2017-08-13,19
2017-08-20,16
2017-08-27,18
2017-09-03,18
2017-09-10,16
2017-09-17,14
2017-09-24,14
2017-10-01,16
2017-10-08,20
2017-10-15,19
2017-10-22,23
2017-10-29,37
2017-11-05,31
2017-11-12,32
2017-11-19,29
2017-11-26,66
2017-12-03,91
2017-12-10,96
2017-12-17,100
2017-12-24,51
2017-12-31,44
2018-01-07,49
2018-01-14,42
2018-01-21,34
2018-01-28,29
2018-02-04,24
2018-02-11,19
2018-02-18,18
2018-02-25,16
2018-03-04,12
2018-03-11,10
2018-03-18,12
2018-03-25,7
2018-04-01,11
2018-04-08,9
2018-04-15,9
2018-04-22,9
