Category: All categories

Week,what is cryptocurrency: (Worldwide)
2017-04-30,0
2017-05-07,17
2017-05-14,9
2017-05-21,9
2017-05-28,27
2017-06-04,18
2017-06-11,54
2017-06-18,28
2017-06-25,57
2017-07-02,10
2017-07-09,28
2017-07-16,19
2017-07-23,19
2017-07-30,13
2017-08-06,19
2017-08-13,22
2017-08-20,16
2017-08-27,24
2017-09-03,30
2017-09-10,18
2017-09-17,25
2017-09-24,12
2017-10-01,16
2017-10-08,24
2017-10-15,21
2017-10-22,17
2017-10-29,31
2017-11-05,20
2017-11-12,22
2017-11-19,28
2017-11-26,44
2017-12-03,66
2017-12-10,91
2017-12-17,86
2017-12-24,80
2017-12-31,78
2018-01-07,100
2018-01-14,95
2018-01-21,65
2018-01-28,61
2018-02-04,49
2018-02-11,39
2018-02-18,36
2018-02-25,22
2018-03-04,31
2018-03-11,31
2018-03-18,20
2018-03-25,23
2018-04-01,20
2018-04-08,18
2018-04-15,15
2018-04-22,20
