Date,Bitcoin,EWJ,FDN,GLD,IWM,IWY,ROBO,SPY,DIA,TLT,UNG,USO,VGT,XLE,XLK,XLU,XLY
1/2/18,14740.7563,60.290001,111.07,125.150002,153.899994,73.889999,41.740002,268.769989,248.020004,125.489998,24.040001,12.07,166.979996,73.449997,64.739998,52.189999,100.190002
1/3/18,15134.6513,61.119999,112.639999,124.82,154.059998,74.519997,42.369999,270.470001,248.949997,126.089996,23.639999,12.34,168.720001,74.550003,65.279999,51.779999,100.650002
1/4/18,15155.2263,61.869999,112.919998,125.459999,154.470001,74.809998,43,271.609985,250.600006,126.07,22.68,12.37,169.690002,75,65.610001,51.349998,100.980003
1/5/18,16937.1738,62.040001,114.010002,125.330002,154.789993,75.550003,43.41,273.420013,252.720001,125.709999,22.08,12.31,171.5,74.970001,66.300003,51.330002,101.779999
1/8/18,14970.3575,62.400002,114.779999,125.309998,155.029999,75.660004,43.610001,273.920013,252.589996,125.629997,22.299999,12.38,172.320007,75.419998,66.550003,51.810001,101.900002
1/9/18,14439.4738,62.439999,114.489998,124.730003,154.820007,75.800003,43.700001,274.540009,253.820007,123.949997,23.299999,12.57,171.880005,75.230003,66.379997,51.299999,102.099998
1/10/18,14890.7225,62.84,114.220001,125.029999,154.839996,75.730003,43.52,274.119995,253.619995,123.800003,22.99,12.68,171.320007,75.139999,66.150002,50.740002,102.029999
1/11/18,13287.26,63.259998,115.400002,125.440002,157.5,76.230003,44.02,276.119995,255.610001,124.309998,24.4,12.7,172.440002,76.68,66.419998,50.549999,103.690002
1/12/18,13812.715,63.459999,116.43,126.959999,158.160004,76.699997,44.619999,277.920013,257.910004,124.519997,25.280001,12.87,173.429993,77.419998,66.809998,50.259998,105.029999
1/16/18,11348.02,63.459999,115.370003,127.169998,156.139999,76.480003,44.900002,276.970001,257.809998,125.040001,24.6,12.76,172.649994,76.440002,66.550003,50.150002,104.279999
1/17/18,11141.2488,63.970001,116.120003,126.139999,157.619995,77.339996,45.32,279.609985,261.079987,124.870003,25.6,12.78,175.289993,77.110001,67.550003,50.459999,104.779999
1/18/18,11250.6475,63.43,116.110001,125.860001,156.539993,77.300003,45.290001,279.140015,260.160004,123.709999,25.190001,12.76,175.639999,76.480003,67.669998,50.139999,104.690002
1/19/18,11514.925,63.830002,116.940002,126.419998,158.600006,77.690002,45.830002,280.410004,260.540009,123.059998,24.860001,12.72,176.009995,76.379997,67.800003,49.990002,105.599998
1/22/18,10772.15,64.099998,118.589996,126.650002,159.449997,78.32,46.02,282.690002,261.980011,123.18,24.85,12.78,177.369995,78.029999,68.459999,50.060001,106.769997
