Type,Ticker,Description,Correlation,Corr1week,Corr1month,Term
Crypto,DASH,Dash,0.94,0.871,0.632,05/01/17-04/30/18
Crypto,LTC,Litecoin,0.922,0.794,0.503,05/01/17-04/30/18
Crypto,XMR,Monero,0.921,0.824,0.551,05/01/17-04/30/18
Crypto,ETH,Ether,0.79,0.661,0.392,05/01/17-04/30/18
Crypto,ZEC,Zcash,0.766,0.644,0.36,05/01/17-04/30/18
Crypto,XRP,Ripple,0.72,0.603,0.259,05/01/17-04/30/18
ETF,DIA,Dow Jones,0.861,0.811,0.688,05/01/17-04/30/18
ETF,SPY,S&P 500,0.837,0.774,0.646,05/01/17-04/30/18
ETF,EWJ,iShares Japan,0.834,0.791,0.715,05/01/17-04/30/18
ETF,IWY,Russell Top 200 Growth,0.815,0.76,0.659,05/01/17-04/30/18
ETF,XLK,SPDR Utilities,0.796,0.751,0.682,05/01/17-04/30/18
ETF,ROBO,Robotics & Automation,0.795,0.764,0.72,05/01/17-04/30/18
ETF,IWM,Russell 2000,0.79,0.748,0.665,05/01/17-04/30/18
ETF,VGT,Vanguart I.T.,0.78,0.734,0.677,05/01/17-04/30/18
ETF,SMH,Semiconductor Index,0.729,0.7,0.732,05/01/17-04/30/18
ETF,XLY,Consumer Discretionary,0.727,0.66,0.48,05/01/17-04/30/18
ETF,USO,US Oil,0.712,0.679,0.643,05/01/17-04/30/18
ETF,XLE,SPDR Energy,0.676,0.618,0.501,05/01/17-04/30/18
ETF,FDN,Dow Jones Internet,0.673,0.626,0.555,05/01/17-04/30/18
ETF,GLD,SPDR Gold Shares,0.407,0.336,0.238,05/01/17-04/30/18
ETF,TLT,20-yr Tbond,-0.132,-0.117,-0.03,05/01/17-04/30/18
ETF,XLU,SPDR Tech,-0.207,-0.107,0.125,05/01/17-04/30/18
ETF,UNG,US Natural Gas,-0.769,-0.736,-0.595,05/01/17-04/30/18
Google,GBIT,Bitcoin,0.937,0.829,0.686,05/01/17-04/30/18
Google,GBLO,Blockchain,0.937,0.909,0.754,05/01/17-04/30/18
Google,GCRYP,Crypto,0.84,0.755,0.492,05/01/17-04/30/18
Google,GSATO,Satoshi,0.796,0.796,0.609,05/01/17-04/30/18
Google,GCD,CoinDesk,0.781,0.809,0.666,05/01/17-04/30/18
Google,GCURR,Currencies,0.769,0.723,0.513,05/01/17-04/30/18
Google,GETHER,Ethereum,0.452,0.477,0.272,05/01/17-04/30/18
Google,GBCH,Bitcash,0.423,0.444,0.393,05/01/17-04/30/18
Google,GMAF,McAfee,0.382,0.461,0.265,05/01/17-04/30/18
Google,GPRES,President,-0.122,-0.136,-0.098,05/01/17-04/30/18
Google,GTRMP,Trump,-0.373,-0.384,-0.452,05/01/17-04/30/18
STOCK,AAPL,Apple,0.811,0.765,0.706,05/01/17-04/30/18
STOCK,JPM,J.P. Morgan,0.778,0.734,0.607,05/01/17-04/30/18
STOCK,GOOG,Google,0.768,0.694,0.58,05/01/17-04/30/18
STOCK,C,Citgroup,0.751,0.744,0.685,05/01/17-04/30/18
STOCK,GE,General Electric,-0.806,-0.742,-0.709,05/01/17-04/30/18
YouTube,YIB,Invest in Bitcoin,0.76,0.746,0.615,05/01/17-04/30/18
YouTube,YSAT,Satoshi,0.734,0.79,0.664,05/01/17-04/30/18
YouTube,YTRA,Trading Bitcoin,0.607,0.644,0.51,05/01/17-04/30/18
YouTube,YBIT,Bitcoin = search term,0.567,0.583,0.464,05/01/17-04/30/18
YouTube,YBLO,Blockchain,0.41,0.39,0.229,05/01/17-04/30/18
YouTube,YMAF,McAfee,0.212,0.287,0.293,05/01/17-04/30/18
