Date,Bitcoin,EWJ,FDN,GLD,IWM,IWY,ROBO,SPY,DIA,TLT,UNG,USO,VGT,XLE,XLK,XLU,XLY,AAPL,GE,JPM,GOOG,C,GBIT,GBLO,GCRYP,GTRMP,GPRES,GSATO,GCURR,GETHER,GMAF,GBCH,GTRA,GCD,YBIT,YBLO,YIB,YTRA,YSAT,YMAF,SMH
5/8/17,1772.550049,52.369999,94.010002,116.830002,137.509995,63.619999,34.02,238.979996,209.009995,121.389999,31.52,9.95,142.440002,67.75,55.560001,51.73,89.879997,156.100006,28.27,86.919998,932.219971,61.07,10,23,7,63,100,21,45,14,68,19,10,16,30,49,0,19,21,61,82.849998
5/15/17,2044.189941,53.049999,92.940002,119.400002,136.029999,63.299999,34.369999,238.309998,207.770004,123.709999,30.200001,10.48,141.529999,68.080002,55.240002,52.080002,89.25,153.059998,28.049999,84.779999,934.01001,61.099998,11,24,7,88,96,22,42,15,79,16,9,15,34,64,16,30,26,68,83.75
5/22/17,2189.02002,53.18,95.18,120.540001,137.539993,64.610001,34.700001,241.710007,210.539993,123.480003,29.76,10.28,144.960007,66.610001,56.380001,53.400002,90.739998,153.610001,27.450001,85.360001,971.469971,62.07,19,28,10,99,76,27,49,51,59,17,20,34,47,67,6,58,24,53,85.480003
5/29/17,2524.060059,54.900002,96.540001,121.610001,139.850006,65.57,35.43,244.169998,211.910004,125.620003,27.08,9.86,146.960007,65.089996,57.189999,54.279999,92.239998,155.449997,27.879999,82.639999,975.599976,61.110001,12,26,8,100,69,25,47,39,58,17,15,19,46,70,11,28,26,72,86.82
6/5/17,2973.449951,54.09,94.639999,120.540001,141.610001,64.739998,35,243.410004,212.669998,124.400002,27.440001,9.49,143.690002,66.419998,56.02,53.669998,90.370003,148.979996,27.940001,86.959999,949.830017,64.449997,12,28,10,78,65,25,50,47,61,16,14,20,44,70,22,54,23,57,85.690002
6/12/17,2539.560059,54.220001,94.080002,119.339996,140.190002,64.639999,34.560001,242.639999,213.559998,126.349998,27.32,9.24,142.110001,66.300003,55.25,54.110001,90.150002,142.270004,29,86.18,939.780029,63.889999,13,28,12,68,61,23,52,76,59,17,13,25,43,72,0,42,24,71,84.150002
6/19/17,2541.620117,54.049999,96.879997,119.43,140.910004,65.459999,34.880001,243.130005,213.740005,127.779999,26.4,8.86,145.339996,64.379997,56.299999,53.209999,89.519997,146.279999,27.57,86.860001,965.590027,63.41,11,31,11,51,62,23,45,58,59,15,14,17,43,78,11,36,25,36,85.669998
6/26/17,2536.459961,53.650002,94.739998,118.019997,140.919998,64.480003,34.279999,241.800003,213.240005,125.120003,27.120001,9.5,140.839996,64.919998,54.720001,51.959999,89.629997,144.020004,27.01,91.400002,908.72998,66.879997,11,28,12,58,57,25,52,55,63,18,13,17,43,84,30,58,24,47,81.860001
7/3/17,2511.429932,52.98,94.919998,115.279999,140.490005,64.290001,34.150002,242.110001,214.050003,122.720001,25.559999,9.1,141.699997,64.010002,55.009998,51.490002,89.199997,144.179993,26.15,93.849998,918.590027,67.910004,9,24,10,69,60,25,47,35,55,13,9,12,39,75,6,15,25,61,83.209999
7/10/17,1914.089966,53.630001,98.669998,116.769997,141.729996,65.779999,35.360001,245.559998,216.259995,123.330002,26.639999,9.59,146.779999,65.400002,56.860001,51.919998,90.190002,149.039993,26.780001,92.25,955.98999,66.720001,10,26,10,71,63,25,46,43,58,14,9,17,46,67,12,29,25,60,86.82
